Service ID,Funder Full Name,Funder Acronym,Funder Country,Funder Continent,Funding Committed (EUR),Date Committed,Year 1 Paid (EUR),Year 1 Date,Year 2 Paid (EUR),Year 2 Date,Year 3 Paid (EUR),Year 3 Date,Total Paid (EUR),Additional Information
DOAJ,Authority Engine Rainstorm,AER,Iraq,Australia,"216,467.00",28-01-2017,"25,037.00",13-07-2017,"18,819.00",23-08-2018,"59,469.00",14-09-2019,"103,325.00",
DOAJ,Stem Beam Stem,SBS,Slovenia,Australia,"396,118.00",23-06-2017,,,,,,,0.00,
DOAJ,Flower Gun Dust,FGD,Papua New Guinea,Europe,"371,329.00",22-02-2017,"96,141.00",29-11-2017,"73,402.00",04-01-2018,,,"169,543.00",
DOAJ,Hen Stem Breath,HSB,Sint Maarten (Dutch part),Australia,"408,289.00",28-01-2017,,,,,,,0.00,
DOAJ,Chin Fruit Office,CFO,"Taiwan, Province of China",South America,"332,272.00",03-03-2017,"90,845.00",03-10-2017,"36,970.00",29-12-2018,"76,848.00",05-10-2019,"204,663.00",
DOAJ,Worm Breath Weather,WBW,French Guiana,South America,"59,726.00",21-04-2017,"5,357.00",06-08-2017,"10,082.00",19-11-2018,,,"15,439.00",
DOAJ,Worm Flower Chin,WFC,Norway,South America,"277,754.00",07-04-2017,,,,,,,0.00,
DOAJ,Thought Stranger Competition,TSC,Namibia,South America,"462,009.00",25-06-2017,"101,936.00",29-10-2017,,,,,"101,936.00",
DOAJ,Stretch Effect Beam,SEB,Thailand,South America,"133,923.00",16-04-2017,"28,306.00",20-08-2017,"9,650.00",28-02-2018,,,"37,956.00",
DOAJ,Sticks Poison Gun,SPG,Uzbekistan,Australia,"266,821.00",30-06-2017,"29,436.00",25-12-2017,"34,804.00",09-08-2018,"49,215.00",01-08-2019,"113,455.00",
DOAJ,Shoe Weather Engine,SWE,Tonga,South America,"430,382.00",02-06-2017,"116,689.00",04-07-2017,"37,269.00",31-10-2018,,,"153,958.00",
DOAJ,Voice Tax Thought,VTT,Madagascar,North America,"402,475.00",10-05-2017,"28,302.00",10-08-2017,"26,728.00",05-01-2018,"55,975.00",29-08-2019,"111,005.00",
DOAJ,Expert Stocking Partner,ESP,Norway,North America,"72,940.00",04-02-2017,,,,,,,0.00,
DOAJ,Cry Moon Punishment,CMP,Zimbabwe,Africa,"20,963.00",07-05-2017,"6,733.00",01-10-2017,,,,,"6,733.00",
DOAJ,Worm Gun Respect,WGR,Tuvalu,South America,"168,288.00",10-05-2017,,,,,,,0.00,
DOAJ,Limit Respect Hen,LRH,Burundi,South America,"254,363.00",19-03-2017,"6,567.00",04-08-2017,,,,,"6,567.00",
DOAJ,Cord Sticks Engine,CSE,Cuba,Asia,"135,536.00",21-01-2017,"12,306.00",22-08-2017,"11,472.00",20-06-2018,"22,021.00",03-09-2019,"45,799.00",
DOAJ,Ornament Brothers Hen,OBH,Mauritania,North America,"397,358.00",23-01-2017,"48,938.00",24-10-2017,"42,691.00",08-08-2018,"131,633.00",19-08-2019,"223,262.00",
DOAJ,Liquid Roll Sheep,LRS,Slovakia,Africa,"98,220.00",09-02-2017,"7,978.00",29-10-2017,,,,,"7,978.00",
DOAJ,Skin Beam Flower,SBF,Uganda,Europe,"464,994.00",02-01-2017,,,,,,,0.00,
DOAJ,Poison Moon Stocking,PMS,Angola,Africa,"393,968.00",02-02-2017,"121,825.00",30-08-2017,"11,556.00",14-07-2018,,,"133,381.00",
DOAJ,Skin Punishment Punishment,SPP,Paraguay,Africa,"395,481.00",01-01-2017,,,,,,,0.00,
DOAJ,Tax Engine Stocking,TES,Bouvet Island,Australia,"268,475.00",26-01-2017,"68,559.00",03-07-2017,"38,827.00",31-10-2018,"17,636.00",29-08-2019,"125,022.00",
DOAJ,Example Expert Roll,EER,Hungary,Europe,"461,196.00",19-01-2017,"105,582.00",21-10-2017,"39,855.00",11-08-2018,"40,164.00",11-07-2019,"185,601.00",
ROMEO,Basin Rice Rice,BRR,Liberia,South America,"259,380.00",20-02-2017,"43,384.00",13-09-2017,,,,,"43,384.00",
ROMEO,Dust Worm Zipper,DWZ,Sri Lanka,North America,"331,127.00",07-04-2017,"30,191.00",16-08-2017,"29,485.00",10-12-2018,"33,525.00",05-02-2019,"93,201.00",
ROMEO,Hen Stem Effect,HSE,Burundi,North America,"471,566.00",07-03-2017,,,,,,,0.00,
ROMEO,Cherries Expert Skin,CES,Svalbard and Jan Mayen,Asia,"400,418.00",30-04-2017,,,,,,,0.00,
ROMEO,Voice Stretch Expert,VSE,"Micronesia, Federated States of",Africa,"458,156.00",12-06-2017,"73,108.00",02-11-2017,"50,068.00",12-11-2018,,,"123,176.00",
ROMEO,Cherries Chin Hen,CCH,Nicaragua,Australia,"219,657.00",28-06-2017,"68,357.00",24-07-2017,,,,,"68,357.00",
ROMEO,Volleyball Mind Chin,VMC,Papua New Guinea,Asia,"183,808.00",21-04-2017,"4,141.00",08-07-2017,,,,,"4,141.00",
ROMEO,Cry Moon Limit,CML,Palau,North America,"110,858.00",03-04-2017,,,,,,,0.00,
ROMEO,Worm Cover Sticks,WCS,Bhutan,South America,"337,242.00",07-03-2017,"67,603.00",21-07-2017,"9,861.00",09-09-2018,"15,024.00",15-07-2019,"92,488.00",
ROMEO,Cry Example Volleyball,CEV,Poland,Asia,"174,282.00",05-03-2017,"21,189.00",11-11-2017,"29,534.00",04-06-2018,"17,626.00",17-07-2019,"68,349.00",
ROMEO,Cloud Stretch Limit,CSL,Singapore,South America,"383,241.00",13-05-2017,"76,575.00",03-12-2017,,,,,"76,575.00",
ROMEO,Breath Lunch Spoon,BLS,Myanmar,South America,"452,507.00",17-02-2017,"42,879.00",09-08-2017,"65,072.00",20-11-2018,"38,074.00",29-05-2019,"146,025.00",
ROMEO,Soda Dust Price,SDP,El Salvador,Africa,"41,136.00",15-04-2017,"8,724.00",23-09-2017,308.00,13-04-2018,"2,474.00",02-09-2019,"11,506.00",
ROMEO,Cherries Brothers Tax,CBT,Algeria,North America,"250,113.00",30-05-2017,"57,190.00",28-10-2017,"30,452.00",05-07-2018,,,"87,642.00",
ROMEO,Beam Cherries Flower,BCF,Anguilla,Asia,"498,824.00",11-02-2017,"19,062.00",31-08-2017,"96,440.00",20-11-2018,"88,137.00",11-11-2019,"203,639.00",
ROMEO,Cloud Spoon Stem,CSS,Senegal,Australia,"222,616.00",02-03-2017,"73,475.00",11-10-2017,"40,093.00",31-08-2018,"16,479.00",11-02-2019,"130,047.00",
ROMEO,Reward Cloud Page,RCP,Northern Mariana Islands,Australia,"170,651.00",20-05-2017,"24,648.00",07-10-2017,"23,936.00",15-12-2018,,,"48,584.00",
ROMEO,Cloud Stem Limit,CSL,"Tanzania, United Republic of",Asia,"461,325.00",01-04-2017,"54,926.00",10-08-2017,"47,122.00",02-01-2018,"49,385.00",20-01-2019,"151,433.00",
ROMEO,Stem Authority Lunch,SAL,Israel,Africa,"472,060.00",17-03-2017,"112,501.00",07-12-2017,"69,369.00",13-11-2018,,,"181,870.00",
ROMEO,Sticks Beam Beam,SBB,British Indian Ocean Territory,South America,"25,439.00",12-04-2017,265.00,20-10-2017,806.00,01-07-2018,,,"1,071.00",
ROMEO,Cry Beam Spoon,CBS,Macao,North America,"87,913.00",09-05-2017,"22,625.00",10-11-2017,"24,538.00",06-11-2018,,,"47,163.00",
ROMEO,Price Locket Page,PLP,France,Australia,"208,843.00",27-02-2017,"2,855.00",03-09-2017,,,,,"2,855.00",
ROMEO,Moon Expert Liquid,MEL,Monaco,Africa,"341,116.00",29-05-2017,"72,173.00",12-11-2017,,,,,"72,173.00",
ROMEO,Competition Spoon Cloud,CSC,Holy See (Vatican City State),Asia,"416,786.00",08-03-2017,"100,802.00",08-11-2017,"32,453.00",11-04-2018,,,"133,255.00",
ROMEO,Cover Cherries Thought,CCT,Antarctica,Africa,"449,140.00",17-02-2017,"106,566.00",02-08-2017,,,,,"106,566.00",
ROMEO,Office Soda Thought,OST,French Polynesia,Europe,"339,108.00",29-04-2017,,,,,,,0.00,
ROMEO,Authority Engine Rainstorm,AER,Iraq,Australia,"363,313.00",12-01-2017,"75,397.00",10-07-2017,"15,422.00",04-08-2018,"5,513.00",02-03-2019,"96,332.00",
ROMEO,Stem Beam Stem,SBS,Slovenia,Australia,"438,781.00",17-06-2017,"105,632.00",12-07-2017,"136,933.00",16-08-2018,,,"242,565.00",
ROMEO,Flower Gun Dust,FGD,Papua New Guinea,Europe,"396,007.00",15-06-2017,"45,456.00",21-08-2017,"56,041.00",20-07-2018,"63,500.00",20-04-2019,"164,997.00",
ROMEO,Hen Stem Breath,HSB,Sint Maarten (Dutch part),Australia,"82,321.00",25-05-2017,"19,139.00",26-10-2017,,,,,"19,139.00",
ROMEO,Chin Fruit Office,CFO,"Taiwan, Province of China",South America,"360,264.00",02-05-2017,"89,364.00",26-11-2017,"119,682.00",30-05-2018,,,"209,046.00",
ROMEO,Worm Breath Weather,WBW,French Guiana,South America,"206,177.00",05-06-2017,"34,641.00",30-09-2017,"31,308.00",25-06-2018,,,"65,949.00",
ROMEO,Worm Flower Chin,WFC,Norway,South America,"34,567.00",15-06-2017,,,,,,,0.00,
ROMEO,Thought Stranger Competition,TSC,Namibia,South America,"213,979.00",02-05-2017,"31,988.00",03-11-2017,"10,420.00",28-12-2018,"64,566.00",12-12-2019,"106,974.00",
ROMEO,Stretch Effect Beam,SEB,Thailand,South America,"275,073.00",12-02-2017,,,,,,,0.00,
ROMEO,Sticks Poison Gun,SPG,Uzbekistan,Australia,"210,073.00",06-02-2017,"25,796.00",21-09-2017,"24,944.00",28-06-2018,"64,937.00",10-12-2019,"115,677.00",
ROMEO,Shoe Weather Engine,SWE,Tonga,South America,"272,395.00",27-04-2017,"70,231.00",07-11-2017,"46,069.00",11-06-2018,"24,819.00",22-06-2019,"141,119.00",
ROMEO,Voice Tax Thought,VTT,Madagascar,North America,"284,394.00",19-03-2017,,,,,,,0.00,
ROMEO,Expert Stocking Partner,ESP,Norway,North America,"112,658.00",27-02-2017,,,,,,,0.00,
ROMEO,Cry Moon Punishment,CMP,Zimbabwe,Africa,"387,255.00",30-04-2017,"103,186.00",21-09-2017,,,,,"103,186.00",
ROMEO,Worm Gun Respect,WGR,Tuvalu,South America,"153,377.00",06-03-2017,"45,336.00",11-11-2017,"39,584.00",20-12-2018,,,"84,920.00",
ROMEO,Limit Respect Hen,LRH,Burundi,South America,"58,087.00",05-06-2017,"17,831.00",09-11-2017,,,,,"17,831.00",
ROMEO,Cord Sticks Engine,CSE,Cuba,Asia,"287,492.00",28-04-2017,"63,196.00",15-11-2017,"56,869.00",21-12-2018,,,"120,065.00",
ROMEO,Ornament Brothers Hen,OBH,Mauritania,North America,"116,967.00",05-04-2017,,,,,,,0.00,
ROMEO,Liquid Roll Sheep,LRS,Slovakia,Africa,"164,785.00",26-02-2017,,,,,,,0.00,
ROMEO,Skin Beam Flower,SBF,Uganda,Europe,"443,759.00",20-05-2017,"5,197.00",19-08-2017,,,,,"5,197.00",
ROMEO,Poison Moon Stocking,PMS,Angola,Africa,"371,347.00",08-05-2017,,,,,,,0.00,
ROMEO,Skin Punishment Punishment,SPP,Paraguay,Africa,"95,747.00",22-03-2017,,,,,,,0.00,
ROMEO,Tax Engine Stocking,TES,Bouvet Island,Australia,"213,416.00",13-04-2017,"43,474.00",25-08-2017,,,,,"43,474.00",
ROMEO,Example Expert Roll,EER,Hungary,Europe,"68,388.00",21-03-2017,"5,266.00",12-10-2017,"6,110.00",28-02-2018,,,"11,376.00",
